latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
1.1957,38.9447,315.1,4.1,1.9,2020-01-01,1020,Aqua,MODIS,58,6.03,296.1,70.0,D,0,2020,1
-0.7536,36.467,311.2,1.0,1.0,2020-01-02,806,Terra,MODIS,57,6.03,296.7,5.5,D,0,2020,1
-0.7766,36.4364,311.8,1.0,1.0,2020-01-02,806,Terra,MODIS,22,6.03,297.4,5.0,D,2,2020,1
0.8901,35.2015,321.8,1.2,1.1,2020-01-02,1103,Aqua,MODIS,54,6.03,297.6,19.3,D,0,2020,1
4.5571,34.7283,328.8,3.1,1.7,2020-01-03,1146,Aqua,MODIS,80,6.03,296.3,67.4,D,0,2020,1
4.5563,34.7208,327.0,3.1,1.7,2020-01-03,1146,Aqua,MODIS,78,6.03,297.0,56.9,D,0,2020,1
4.6782,34.4997,317.6,2.0,1.4,2020-01-04,1051,Aqua,MODIS,42,6.03,294.8,16.1,D,0,2020,1
4.5715,34.4319,308.1,1.1,1.0,2020-01-06,2004,Terra,MODIS,73,6.03,293.7,6.6,N,0,2020,1
-4.106,39.6424,309.7,3.7,1.8,2020-01-07,825,Terra,MODIS,0,6.03,290.0,46.1,D,2,2020,1
-0.1063,35.0934,316.7,1.1,1.0,2020-01-07,1121,Aqua,MODIS,62,6.03,300.3,7.0,D,0,2020,1
4.6505,34.4613,324.8,1.1,1.0,2020-01-07,1122,Aqua,MODIS,58,6.03,300.1,12.8,D,0,2020,1
4.6626,34.4796,345.3,1.1,1.0,2020-01-07,1122,Aqua,MODIS,91,6.03,304.9,44.1,D,0,2020,1
4.6612,34.4698,350.0,1.1,1.0,2020-01-07,1122,Aqua,MODIS,94,6.03,305.3,55.8,D,0,2020,1
4.6519,34.4711,350.2,1.1,1.0,2020-01-07,1122,Aqua,MODIS,94,6.03,306.3,56.3,D,0,2020,1
-2.3953,39.4492,320.4,3.3,1.7,2020-01-08,1025,Aqua,MODIS,67,6.03,293.5,70.9,D,0,2020,1
1.1485,39.2748,313.5,3.0,1.6,2020-01-08,1026,Aqua,MODIS,24,6.03,294.7,34.9,D,0,2020,1
-2.8849,37.981,311.8,1.5,1.2,2020-01-09,812,Terra,MODIS,28,6.03,295.4,13.1,D,0,2020,1
-2.2686,39.1305,311.9,1.8,1.3,2020-01-09,812,Terra,MODIS,20,6.03,295.2,15.2,D,0,2020,1
-1.3161,36.7979,318.1,1.0,1.0,2020-01-11,800,Terra,MODIS,57,6.03,303.1,8.0,D,2,2020,1
-4.0893,39.6612,319.1,1.3,1.1,2020-01-11,800,Terra,MODIS,0,6.03,298.3,14.6,D,2,2020,1
-1.3147,36.789,315.4,1.0,1.0,2020-01-11,800,Terra,MODIS,51,6.03,299.9,6.0,D,2,2020,1
3.3336,37.2595,313.5,4.2,1.9,2020-01-12,841,Terra,MODIS,0,6.03,285.6,28.3,D,0,2020,1
4.574,34.7859,326.4,1.5,1.2,2020-01-14,829,Terra,MODIS,74,6.03,305.7,16.3,D,0,2020,1
4.5563,34.7902,332.6,1.4,1.2,2020-01-14,1128,Aqua,MODIS,78,6.03,310.8,14.8,D,0,2020,1
4.5668,34.7888,330.9,1.4,1.2,2020-01-14,1128,Aqua,MODIS,68,6.03,308.8,11.4,D,0,2020,1
4.565,34.7763,332.8,1.4,1.2,2020-01-14,1128,Aqua,MODIS,78,6.03,311.3,16.9,D,0,2020,1
4.5772,34.7873,331.5,1.4,1.2,2020-01-14,1128,Aqua,MODIS,69,6.03,309.0,13.8,D,0,2020,1
4.5914,34.8003,309.9,2.6,1.5,2020-01-14,2347,Aqua,MODIS,79,6.03,290.7,38.2,N,0,2020,1
4.5845,34.7943,306.5,2.6,1.5,2020-01-14,2347,Aqua,MODIS,68,6.03,290.4,27.2,N,0,2020,1
-1.7997,40.0914,314.0,2.1,1.4,2020-01-15,1031,Aqua,MODIS,44,6.03,296.6,21.4,D,0,2020,1
1.0953,34.9143,324.1,1.0,1.0,2020-01-16,1115,Aqua,MODIS,68,6.03,303.8,13.1,D,0,2020,1
0.5953,34.187,318.5,1.0,1.0,2020-01-16,1115,Aqua,MODIS,33,6.03,302.5,4.6,D,0,2020,1
4.5294,34.7528,326.7,1.1,1.1,2020-01-18,805,Terra,MODIS,55,6.03,308.6,7.9,D,0,2020,1
4.5404,34.7441,354.0,1.1,1.1,2020-01-18,805,Terra,MODIS,96,6.03,311.0,63.4,D,0,2020,1
4.5419,34.734,338.3,1.1,1.1,2020-01-18,805,Terra,MODIS,84,6.03,310.5,26.2,D,0,2020,1
4.5309,34.7427,338.1,1.1,1.1,2020-01-18,805,Terra,MODIS,84,6.03,311.4,27.3,D,0,2020,1
-2.3929,39.4845,329.7,1.0,1.0,2020-01-18,1102,Aqua,MODIS,67,6.03,305.8,10.9,D,0,2020,1
-2.3942,39.4754,338.5,1.0,1.0,2020-01-18,1102,Aqua,MODIS,87,6.03,307.4,23.4,D,0,2020,1
0.6213,39.2674,333.5,1.0,1.0,2020-01-18,1102,Aqua,MODIS,76,6.03,312.8,14.6,D,0,2020,1
1.2072,34.8874,340.3,1.3,1.1,2020-01-18,1103,Aqua,MODIS,88,6.03,306.6,43.0,D,0,2020,1
4.5288,34.7494,355.9,1.2,1.1,2020-01-18,1104,Aqua,MODIS,97,6.03,318.2,64.5,D,0,2020,1
4.5192,34.7509,334.3,1.2,1.1,2020-01-18,1104,Aqua,MODIS,35,6.03,314.0,12.3,D,0,2020,1
4.5176,34.7404,336.7,1.2,1.1,2020-01-18,1104,Aqua,MODIS,64,6.03,314.0,16.8,D,0,2020,1
4.5303,34.7599,357.4,1.2,1.1,2020-01-18,1104,Aqua,MODIS,98,6.03,314.8,69.5,D,0,2020,1
4.4957,34.7587,313.8,1.8,1.3,2020-01-18,2028,Terra,MODIS,88,6.03,295.2,24.9,N,0,2020,1
4.5005,34.7636,310.8,1.8,1.3,2020-01-18,2028,Terra,MODIS,81,6.03,295.3,20.0,N,0,2020,1
4.747,34.6464,308.9,1.8,1.3,2020-01-18,2029,Terra,MODIS,76,6.03,297.4,14.4,N,0,2020,1
4.7448,34.6311,314.3,1.8,1.3,2020-01-18,2029,Terra,MODIS,89,6.03,295.9,24.0,N,0,2020,1
