latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month
4.1194,34.0467,329.2,2.0,1.4,2019-01-01,753,Terra,MODIS,78,6.03,294.4,59.6,D,0,2019,1
1.8432,35.8705,331.2,1.4,1.2,2019-01-01,753,Terra,MODIS,77,6.03,310.0,22.2,D,0,2019,1
1.8535,35.872,336.7,1.4,1.2,2019-01-01,753,Terra,MODIS,84,6.03,311.5,35.0,D,0,2019,1
-2.3807,38.8054,320.4,1.0,1.0,2019-01-01,754,Terra,MODIS,45,6.03,303.0,10.8,D,0,2019,1
-2.2146,40.5784,323.6,1.0,1.0,2019-01-01,1049,Aqua,MODIS,65,6.03,301.4,12.1,D,0,2019,1
-1.9593,41.1434,324.8,1.0,1.0,2019-01-01,1049,Aqua,MODIS,36,6.03,305.2,9.4,D,0,2019,1
-2.0519,40.8764,321.9,1.0,1.0,2019-01-01,1049,Aqua,MODIS,45,6.03,301.9,7.0,D,0,2019,1
1.7983,38.0635,327.7,1.2,1.1,2019-01-01,1051,Aqua,MODIS,63,6.03,300.5,22.2,D,0,2019,1
1.8082,38.062,327.2,1.2,1.1,2019-01-01,1051,Aqua,MODIS,58,6.03,298.0,21.9,D,0,2019,1
0.8131,35.4197,319.7,2.5,1.5,2019-01-02,836,Terra,MODIS,62,6.03,301.5,29.1,D,0,2019,1
0.8165,35.3969,319.2,2.5,1.5,2019-01-02,836,Terra,MODIS,65,6.03,301.7,23.6,D,0,2019,1
1.8097,38.082,344.1,3.9,1.8,2019-01-02,836,Terra,MODIS,89,6.03,298.3,275.7,D,0,2019,1
-0.0366,34.9815,324.2,2.4,1.5,2019-01-02,837,Terra,MODIS,79,6.03,297.7,56.0,D,0,2019,1
0.1543,36.5418,337.5,2.1,1.4,2019-01-02,1133,Aqua,MODIS,85,6.03,306.6,70.7,D,0,2019,1
0.167,36.54,332.3,2.1,1.4,2019-01-02,1133,Aqua,MODIS,80,6.03,310.2,48.4,D,0,2019,1
1.8011,38.0575,325.9,3.0,1.6,2019-01-02,1133,Aqua,MODIS,51,6.03,299.3,52.5,D,0,2019,1
-1.4429,41.292,321.3,1.0,1.0,2019-01-03,742,Terra,MODIS,74,6.03,294.1,12.9,D,0,2019,1
-1.4442,41.301,337.8,1.0,1.0,2019-01-03,742,Terra,MODIS,88,6.03,294.5,34.5,D,0,2019,1
-1.7985,41.1428,320.5,1.0,1.0,2019-01-03,742,Terra,MODIS,68,6.03,294.2,12.6,D,0,2019,1
-2.4836,40.609,321.0,1.5,1.2,2019-01-03,1037,Aqua,MODIS,68,6.03,293.5,23.1,D,0,2019,1
-3.846,39.7845,317.8,1.9,1.3,2019-01-03,1037,Aqua,MODIS,57,6.03,296.9,15.6,D,0,2019,1
-2.4946,40.6105,327.1,1.5,1.2,2019-01-03,1037,Aqua,MODIS,79,6.03,294.4,33.8,D,0,2019,1
-1.4354,41.3038,314.5,1.3,1.1,2019-01-03,1037,Aqua,MODIS,44,6.03,292.3,13.4,D,0,2019,1
-2.1678,40.879,321.1,2.4,1.5,2019-01-04,1120,Aqua,MODIS,66,6.03,292.4,32.2,D,0,2019,1
-2.1109,40.8924,318.0,2.4,1.5,2019-01-04,1120,Aqua,MODIS,35,6.03,292.2,20.1,D,0,2019,1
-1.7889,41.1599,316.0,2.6,1.5,2019-01-04,1120,Aqua,MODIS,47,6.03,292.9,25.8,D,0,2019,1
1.8035,38.0967,336.1,1.7,1.3,2019-01-04,1121,Aqua,MODIS,67,6.03,298.7,48.8,D,0,2019,1
1.8129,38.0799,334.6,1.7,1.3,2019-01-04,1121,Aqua,MODIS,77,6.03,301.8,44.8,D,0,2019,1
1.7753,38.0193,321.0,3.6,1.8,2019-01-05,1026,Aqua,MODIS,13,6.03,294.5,43.3,D,0,2019,1
1.9524,35.7193,301.6,2.4,1.5,2019-01-05,2247,Aqua,MODIS,43,6.03,290.4,11.7,N,0,2019,1
4.0412,34.1012,325.3,1.0,1.0,2019-01-06,811,Terra,MODIS,55,6.03,310.1,9.9,D,0,2019,1
3.8867,34.1515,332.7,1.0,1.0,2019-01-06,811,Terra,MODIS,76,6.03,308.4,18.8,D,0,2019,1
3.879,34.141,323.5,1.0,1.0,2019-01-06,811,Terra,MODIS,21,6.03,309.0,8.6,D,0,2019,1
3.1429,34.575,328.7,1.0,1.0,2019-01-06,811,Terra,MODIS,69,6.03,310.6,13.7,D,0,2019,1
3.1416,34.584,323.6,1.0,1.0,2019-01-06,811,Terra,MODIS,46,6.03,308.4,7.3,D,0,2019,1
2.212,35.6331,339.9,1.0,1.0,2019-01-06,812,Terra,MODIS,85,6.03,309.6,28.6,D,0,2019,1
1.9619,35.7047,357.7,1.0,1.0,2019-01-06,812,Terra,MODIS,98,6.03,311.5,69.4,D,0,2019,1
1.9606,35.7137,335.7,1.0,1.0,2019-01-06,812,Terra,MODIS,80,6.03,308.4,24.5,D,0,2019,1
1.9515,35.7124,328.1,1.0,1.0,2019-01-06,812,Terra,MODIS,60,6.03,308.8,13.9,D,0,2019,1
0.0055,34.0466,323.3,1.0,1.0,2019-01-06,812,Terra,MODIS,73,6.03,298.4,15.6,D,0,2019,1
-1.3772,36.9184,323.1,1.0,1.0,2019-01-06,1108,Aqua,MODIS,42,6.03,303.7,9.0,D,2,2019,1
-1.3529,36.8968,328.9,1.0,1.0,2019-01-06,1108,Aqua,MODIS,54,6.03,303.9,15.0,D,0,2019,1
2.1382,35.7032,337.0,1.0,1.0,2019-01-06,1109,Aqua,MODIS,71,6.03,310.0,20.0,D,0,2019,1
0.7371,39.5001,336.6,1.3,1.1,2019-01-06,1109,Aqua,MODIS,74,6.03,311.8,21.5,D,0,2019,1
-0.0046,34.0406,332.7,1.2,1.1,2019-01-06,1109,Aqua,MODIS,84,6.03,298.9,32.6,D,0,2019,1
-0.0061,34.0299,349.0,1.2,1.1,2019-01-06,1109,Aqua,MODIS,94,6.03,299.4,69.2,D,0,2019,1
0.0051,34.0391,318.1,1.2,1.1,2019-01-06,1109,Aqua,MODIS,65,6.03,297.1,12.7,D,0,2019,1
0.0403,34.0773,349.9,1.2,1.1,2019-01-06,1109,Aqua,MODIS,95,6.03,299.4,71.6,D,0,2019,1
0.0388,34.0667,324.8,1.2,1.1,2019-01-06,1109,Aqua,MODIS,76,6.03,297.8,21.3,D,0,2019,1
0.9268,34.9621,328.0,1.1,1.0,2019-01-06,1109,Aqua,MODIS,73,6.03,312.3,12.5,D,0,2019,1
1.917,35.6982,355.0,1.0,1.0,2019-01-06,1109,Aqua,MODIS,92,6.03,310.1,60.4,D,0,2019,1
1.9788,35.5548,350.9,1.0,1.0,2019-01-06,1109,Aqua,MODIS,94,6.03,319.3,38.2,D,0,2019,1
1.9775,35.5458,356.0,1.0,1.0,2019-01-06,1109,Aqua,MODIS,97,6.03,319.1,50.7,D,0,2019,1
2.2113,35.6313,331.6,1.0,1.0,2019-01-06,1109,Aqua,MODIS,56,6.03,314.2,13.6,D,0,2019,1
3.6109,38.0311,346.3,1.1,1.1,2019-01-06,1109,Aqua,MODIS,89,6.03,321.9,32.7,D,0,2019,1
3.6095,38.021,356.1,1.1,1.1,2019-01-06,1109,Aqua,MODIS,97,6.03,321.2,60.3,D,0,2019,1
3.6189,38.0196,361.0,1.1,1.1,2019-01-06,1109,Aqua,MODIS,100,6.03,321.3,77.0,D,0,2019,1
3.6175,38.0096,347.8,1.1,1.1,2019-01-06,1109,Aqua,MODIS,90,6.03,318.5,41.1,D,0,2019,1
